Year,Italia,Japan,Germany
2000,1.14668E+12,4.96836E+12,1.94798E+12
2001,1.16802E+12,4.37471E+12,1.94579E+12
2002,1.27677E+12,4.18285E+12,2.07848E+12
2003,1.57762E+12,4.51956E+12,2.50164E+12
2004,1.80654E+12,4.89312E+12,2.81435E+12
2005,1.85822E+12,4.83147E+12,2.84686E+12
2006,1.94955E+12,4.60166E+12,2.9947E+12
2007,2.2131E+12,4.57975E+12,3.42558E+12
2008,2.40866E+12,5.10668E+12,3.74526E+12
2009,2.19993E+12,5.28949E+12,3.41126E+12
2010,2.1361E+12,5.75907E+12,3.39967E+12
2011,2.29499E+12,6.23315E+12,3.74931E+12
2012,2.08696E+12,6.27236E+12,3.52714E+12
2013,2.14192E+12,5.21233E+12,3.7338E+12
2014,2.16201E+12,4.89699E+12,3.88909E+12
2015,1.83664E+12,4.44493E+12,3.35759E+12
2016,1.87707E+12,5.00368E+12,3.46985E+12
2017,1.9618E+12,4.93084E+12,3.69085E+12
2018,2.09193E+12,5.04088E+12,3.97444E+12
2019,2.0113E+12,5.11799E+12,3.88918E+12
2020,1.89746E+12,5.05559E+12,3.88773E+12
2021,2.15536E+12,5.03462E+12,4.2785E+12
2022,2.04974E+12,4.25641E+12,4.08247E+12
